year,winner,jockey,trainer,owner,distance,track_condition,time_string,time_sec,triple_crown_winner,Year_winner,Owner,Earnings,Earnings_2022
1976.0,Bold Forbes,Ángel Cordero Jr.,Laz Barrera,E. Rodriguez Tizol,1.25,Fast,02:01.6,121.6,False,,,,
1975.0,Foolish Pleasure,Jacinto Vásquez,LeRoy Jolley,John L. Greer,1.25,Fast,02:02.0,122.0,False,,,,
1974.0,Cannonade,Ángel Cordero Jr.,Woody Stephens,John M. Olin,1.25,Fast,02:04.0,124.0,False,,,,
1973.0,Secretariat,Ron Turcotte,Lucien Laurin,Meadow Stable,1.25,Fast,01:59.4,119.4,True,,,,
1972.0,Riva Ridge,Ron Turcotte,Lucien Laurin,Meadow Stud,1.25,Fast,02:01.8,121.8,False,,,,
1971.0,Canonero II,Gustavo Ávila,Juan Arias,Edgar Caibett,1.25,Fast,02:03.2,123.2,False,,,,
1970.0,Dust Commander,Mike Manganello,Don Combs,Robert E. Lehmann,1.25,Good,02:03.4,123.4,False,,,,
1969.0,Majestic Prince,Bill Hartack,Johnny Longden,Frank M. McMahon,1.25,Fast,02:01.8,121.8,False,,,,
1968.0,Forward Pass,Ismael Valenzuela,Henry Forrest,Calumet Farm,1.25,Fast,02:02.2,122.2,False,,,,
1967.0,Proud Clarion,Bobby Ussery,Loyd Gentry Jr.,Darby Dan Farm,1.25,Fast,02:00.6,120.6,False,,,,
1966.0,Kauai King,Don Brumfield,Henry Forrest,Ford Stable,1.25,Fast,02:02.0,122.0,False,,,,
1965.0,Lucky Debonair,Bill Shoemaker,Frank Catrone,Ada L. Rice,1.25,Fast,02:01.2,121.2,False,,,,
1964.0,Northern Dancer,Bill Hartack,Horatio Luro,Windfields Farm,1.25,Fast,02:00.0,120.0,False,,,,
1963.0,Chateaugay,Braulio Baeza,James P. Conway,Darby Dan Farm,1.25,Fast,02:01.8,121.8,False,,,,
1962.0,Decidedly,Bill Hartack,Horatio Luro,El Peco Ranch,1.25,Fast,02:00.4,120.4,False,,,,
1961.0,Carry Back,Johnny Sellers,Jack A. Price,Katherine Price,1.25,Good,02:04.0,124.0,False,,,,
1960.0,Venetian Way,Bill Hartack,Victor J. Sovinski,Sunny Blue Farm,1.25,Good,02:02.4,122.4,False,,,,
1959.0,Tomy Lee,Bill Shoemaker,Frank E. Childs,Fred & Juliette Turner,1.25,Fast,02:02.2,122.2,False,,,,
1958.0,Tim Tam,Ismael Valenzuela,Jimmy Jones,Calumet Farm,1.25,Muddy,02:05.0,125.0,False,,,,
1957.0,Iron Liege,Bill Hartack,Jimmy Jones,Calumet Farm,1.25,Fast,02:02.2,122.2,False,,,,
1956.0,Needles,David Erb,Hugh L. Fontaine,D & H Stable,1.25,Fast,02:03.4,123.4,False,,,,
