,Year,winner,jockey,trainer,owner,distance,Track Condition,Time,triple_crown_winner,Earnings
46,1976,Bold Forbes,Ángel Cordero Jr.,Laz Barrera,E. Rodriguez Tizol,1.25,Fast,02:01.6,No,"$546,536 "
47,1975,Foolish Pleasure,Jacinto Vásquez,LeRoy Jolley,John L. Greer,1.25,Fast,02:02.0,No,"$1,216,705 "
48,1974,Cannonade,Ángel Cordero Jr.,Woody Stephens,John M. Olin,1.25,Fast,02:04.0,No,"$501,164 "
49,1973,Secretariat,Ron Turcotte,Lucien Laurin,Meadow Stable,1.25,Fast,01:59.4,Yes,"$1,316,808 "
50,1972,Riva Ridge,Ron Turcotte,Lucien Laurin,Meadow Stud,1.25,Fast,02:01.8,No,"$1,111,497 "
51,1971,Canonero II,Gustavo Ávila,Juan Arias,Edgar Caibett,1.25,Fast,02:03.2,No,"$360,933 "
52,1970,Dust Commander,Mike Manganello,Don Combs,Robert E. Lehmann,1.25,Good,02:03.4,No,"$215,012 "
53,1969,Majestic Prince,Bill Hartack,Johnny Longden,Frank M. McMahon,1.25,Fast,02:01.8,No,"$414,200 "
54,1968,Forward Pass,Ismael Valenzuela,Henry Forrest,Calumet Farm,1.25,Fast,02:02.2,No,"$580,631 "
55,1967,Proud Clarion,Bobby Ussery,Loyd Gentry Jr.,Darby Dan Farm,1.25,Fast,02:00.6,No,"$218,730 "
56,1966,Kauai King,Don Brumfield,Henry Forrest,Ford Stable,1.25,Fast,02:02.0,No,"$381,397 "
57,1965,Lucky Debonair,Bill Shoemaker,Frank Catrone,Ada L. Rice,1.25,Fast,02:01.2,No,"$370,960 "
58,1964,Northern Dancer,Bill Hartack,Horatio Luro,Windfields Farm,1.25,Fast,02:00.0,No,"$580,647 "
59,1963,Chateaugay,Braulio Baeza,James P. Conway,Darby Dan Farm,1.25,Fast,02:01.8,No,"$360,722 "
60,1962,Decidedly,Bill Hartack,Horatio Luro,El Peco Ranch,1.25,Fast,02:00.4,No,"$318,989 "
61,1961,Carry Back,Johnny Sellers,Jack A. Price,Katherine Price,1.25,Good,02:04.0,No,"$1,241,165 "
62,1960,Venetian Way,Bill Hartack,Victor J. Sovinski,Sunny Blue Farm,1.25,Good,02:02.4,No,"$359,422 "
63,1959,Tomy Lee,Bill Shoemaker,Frank E. Childs,Fred & Juliette Turner,1.25,Fast,02:02.2,No,"$405,014 "
64,1958,Tim Tam,Ismael Valenzuela,Jimmy Jones,Calumet Farm,1.25,Muddy,02:05.0,No,"$467,475 "
65,1957,Iron Liege,Bill Hartack,Jimmy Jones,Calumet Farm,1.25,Fast,02:02.2,No,"$404,169 "
66,1956,Needles,David Erb,Hugh L. Fontaine,D & H Stable,1.25,Fast,02:03.4,No,"$600,355 "
67,1955,Swaps,Bill Shoemaker,Mesh Tenney,Rex C. Ellsworth,1.25,Fast,02:01.8,No,"$848,900 "
68,1954,Determine,Raymond York,William Molter,Andrew J. Crevolin,1.25,Fast,02:03.0,No,"$573,600 "
69,1953,Dark Star,Henry E. Moreno,Eddie Hayward,Cain Hoy Stable,1.25,Fast,02:02.0,No,"$131,337 "
70,1952,Hill Gail,Eddie Arcaro,Ben A. Jones,Calumet Farm,1.25,Fast,02:01.6,No,"$335,625 "
71,1951,Count Turf,Conn McCreary,Sol Rutchick,Jack J. Amiel,1.25,Fast,02:02.6,No,"$166,375 "
72,1950,Middleground,William Boland,Max Hirsch,King Ranch,1.25,Fast,02:01.6,No,"$237,725 "
73,1949,Ponder,Steve Brooks,Ben A. Jones,Calumet Farm,1.25,Fast,02:04.2,No,"$541,275 "
74,1948,Citation,Eddie Arcaro,Ben A. Jones,Calumet Farm,1.25,Sloppy,02:05.4,Yes,"$1,085,760 "
75,1947,Jet Pilot,Eric Guerin,Tom Smith,Maine Chance Farm,1.25,Slow,02:06.8,No,"$198,740 "
76,1946,Assault,Warren Mehrtens,Max Hirsch,King Ranch,1.25,Slow,02:06.6,Yes,"$675,470 "
77,1945,Hoop Jr.,Eddie Arcaro,Ivan H. Parke,Fred W. Hooper,1.25,Muddy,02:07.0,No,"$99,290 "
78,1944,Pensive,Conn McCreary,Ben A. Jones,Calumet Farm,1.25,Good,02:04.2,No,"$167,715 "
79,1943,Count Fleet,Johnny Longden,Don Cameron,Fannie Hertz,1.25,Fast,02:04.0,Yes,"$250,300 "
80,1942,Shut Out,Wayne D. Wright,John M. Gaver Sr.,Greentree Stable,1.25,Fast,02:04.4,No,"$317,507 "
81,1941,Whirlaway,Eddie Arcaro,Ben A. Jones,Calumet Farm,1.25,Fast,02:01.4,Yes,"$561,161 "
82,1940,Gallahadion,Carroll Bierman,Roy Waldron,Milky Way Farm,1.25,Fast,02:05.0,No,"$92,620 "
83,1939,Johnstown,James Stout,Jim Fitzsimmons,Belair Stud,1.25,Fast,02:03.4,No,"$169,315 "
84,1938,Lawrin,Eddie Arcaro,Ben A. Jones,Herbert M. Woolf,1.25,Fast,02:04.8,No,"$126,275 "
85,1937,War Admiral,Charley Kurtsinger,George Conway,Glen Riddle Farm,1.25,Fast,02:03.2,Yes,"$273,240 "
